用例编号,业务场景,上一轮内容,本轮用户指令,本轮生成结果,专家-格式分,专家-遵循分,专家-一致分,专家-差异分,专家-自然分,模型打分-D1,模型打分-D2,模型打分-D3,模型打分-D4,模型打分-D5,规则校验得分,备注说明
高赞朋友圈#16,高赞朋友圈,"1.(直白) 试到了这件长拖尾👰
2.(留白) 白纱一落，就安静了。
3.(共鸣) 穿上那刻，心才落定。
4.(接地气) 一字肩配多层蓬纱，拖尾拉开那下，镜子里都不敢认。
5.(诗意) 素纱堆云，长尾曳地，一步一步都像走进心愿里。",整体再口语自然一些，少一点刻意煽情，仍然输出5条。,"1.(直白) 试了这件长拖尾婚纱👰
2.(留白) 白纱一放，就稳了。
3.(共鸣) 穿上那刻，心定了。
4.(接地气) 一字肩配多层蓬纱，拖尾一拉开，镜子里都快认不出自己。
5.(诗意) 白纱层叠，长尾拖地，一步一步像是走近心愿。",9,3,9,8,7,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#24,高赞朋友圈,"1.(直白) 车里换了粉色靠垫🚗
2.(留白) 坐进去，腰先松了。
3.(共鸣) 开长途，全靠这一套。
4.(接地气) 腰靠加头枕一套配齐，颜色柔和，堵车时腰背舒服不少。
5.(诗意) 一抹柔粉倚在身后，路途再长也存了几分安稳。",整体再口语自然一些，少一点刻意煽情，仍然输出5条。,"1.(直白) 车里换了对粉色靠垫🚗
2.(留白) 一坐进去，腰松了。
3.(共鸣) 跑长途，就靠它。
4.(接地气) 腰靠加头枕配齐，颜色也柔和，堵车时腰背舒服不少。
5.(诗意) 一抹柔粉垫在身后，路再长也多了点安稳。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#36,高赞朋友圈,"1.(直白) 换了白纱帘，很通透🪟
2.(留白) 风来了，帘先知道。
3.(共鸣) 光被滤过，房就柔了。
4.(接地气) 白纱配流苏边，光透进来不刺眼，屋里一下软了下来。
5.(诗意) 素纱垂落流苏轻晃，日光被滤成一室温柔。",整体再口语自然一些，少一点刻意煽情，仍然输出5条。,"1.(直白) 换了白纱帘，挺通透🪟
2.(留白) 风一吹，帘先动。
3.(共鸣) 光滤过后，房就柔。
4.(接地气) 白纱配流苏边，光透进来不刺眼，屋里一下就软了。
5.(诗意) 素纱垂着流苏轻晃，日光被滤成一屋温柔。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#38,高赞朋友圈,"1.(直白) 新吉他到手，原木色🎸
2.(留白) 六根弦，够说很多。
3.(共鸣) 拨一下，情绪就有了。
4.(接地气) 浅木面板配深棕指板，抱着顺手，晚上拨两下很解压。
5.(诗意) 木身藏音，六弦引调，寻常夜晚也有了回响。",再写一版，幽默感轻一点，不要用网络烂梗。,"1.(直白) 新吉他到手，原木色🎸
2.(留白) 六根弦，刚刚好。
3.(共鸣) 拨两下，就放松。
4.(接地气) 浅木面板配深棕指板，抱着顺手，晚上拨两下挺解压。
5.(诗意) 木身藏音，六弦起调，寻常夜晚也有了回响。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#41,高赞朋友圈,"1.(直白) 新鞋到了，裸粉粗跟👠
2.(留白) 裸粉一双，脚下有底。
3.(共鸣) 后空的巧，懂鞋的懂。
4.(接地气) 尖头显瘦方跟稳当，通勤踩一天不至于崩溃。
5.(诗意) 一抹裸粉落于足下，步履之间便轻了三分。",保留图片主题，换成更有氛围感但不矫情的表达。,"1.(直白) 新鞋到了，裸粉粗跟👠
2.(留白) 裸粉一双，落步轻。
3.(共鸣) 后空的巧，懂的人懂。
4.(接地气) 尖头显瘦方跟也稳，通勤踩一天不至于累垮。
5.(诗意) 一抹裸粉落在足下，步子之间便轻了几分。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#52,高赞朋友圈,"1.(直白) 今天有点想揍人😤
2.(留白) 忍住了，就当没事。
3.(共鸣) 想动手的瞬间，谁都有。
4.(接地气) 有些时刻真想化身奥特曼，一拳解决问题，但还是忍住了。
5.(诗意) 胸中蓄光却按下拳头，克制原也是一种力量。",整体再口语自然一些，少一点刻意煽情，仍然输出5条。,"1.(直白) 今天有点想揍人😤
2.(留白) 忍住了，没事。
3.(共鸣) 想动手那下，谁都有。
4.(接地气) 有些时候真想化身奥特曼一拳解决，最后还是忍住了。
5.(诗意) 心里攒着劲却收住拳头，克制也算一种力气。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#53,高赞朋友圈,"1.(直白) 全程假笑点赞中👍
2.(留白) 笑是笑了，只是有点假。
3.(共鸣) 开会时的我，就这表情。
4.(接地气) 心里一万个想法，脸上还是竖起大拇指说好，成年人的礼貌。
5.(诗意) 笑意浮于面上，赞许藏于礼貌，成年人的分寸如此。",保留图片主题，换成更有氛围感但不矫情的表达。,"1.(直白) 全程假笑，顺便点个赞👍
2.(留白) 笑是笑了，带着点虚。
3.(共鸣) 开会时的我，就这脸。
4.(接地气) 心里转了一万遍，脸上还是竖大拇指说好，成年人的礼貌。
5.(诗意) 笑意浮在面上，赞许收进礼貌里，成年人的分寸如此。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#54,高赞朋友圈,"1.(直白) 一句收声，全场安静🤫
2.(留白) 该停时，就停一下。
3.(共鸣) 太吵的时候，都需要它。
4.(接地气) 群里吵得不可开交，我就想丢这张图过去说一句收声。
5.(诗意) 一声收声落下，满室喧哗便退回了原处。",再写一版，幽默感轻一点，不要用网络烂梗。,"1.(直白) 一句收声，全场安静🤫
2.(留白) 该停时，就停。
3.(共鸣) 太吵的时候，正需要。
4.(接地气) 群里吵得不可开交，我就想丢这张图过去说一句收声。
5.(诗意) 一声收声落下，满屋喧哗便退回了原处。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#55,高赞朋友圈,"1.(直白) 挥挥手，啊朋友再见👋
2.(留白) 码头风大，就此别过。
3.(共鸣) 告别时，总想多挥两下。
4.(接地气) 送人走的时候脑子里全是这句啊朋友再见，一路循环。
5.(诗意) 弯月照海，挥手成别，友情最难在轻描淡写。",第2条方向不错，再短一点，更像随手发的朋友圈。,"1.(直白) 挥挥手，啊朋友再见👋
2.(留白+随手) 码头风大，走了。
3.(共鸣) 告别时，总想多挥两下。
4.(接地气) 送人走的时候脑子里全是这句啊朋友再见，一路循环。
5.(诗意) 弯月照海，挥手成别，友情最难在轻描淡写。",,,,,,8,7,9,8,7,10,
高赞朋友圈#58,高赞朋友圈,"1.(直白) 今天不太想说话😐
2.(留白) 白发红眼，冷着脸。
3.(共鸣) 无语的时候，最真实。
4.(接地气) 有些事听完只能沉默，脸上写满四个字，一言难尽。
5.(诗意) 眉眼含霜不发一语，情绪自有它的分寸。",再写一版，幽默感轻一点，不要用网络烂梗。,"1.(直白) 今天不太想说话😐
2.(留白) 白发红眼，冷着脸。
3.(共鸣) 无语的时候，最真。
4.(接地气) 有些事听完只能沉默，脸上写满四个字，一言难尽。
5.(诗意) 眉眼含霜不发一语，情绪自有着分寸。",,,,,,8,3,9,8,6,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#6,高赞朋友圈,"1.(直白) 出差常备，拆袋就穿🧳
2.(留白) 省事，也是种体面。
3.(共鸣) 行李轻了，心也轻了。
4.(接地气) 出门前塞两袋进包，免得旅途里惦记洗晾，确实省心。
5.(诗意) 轻装启程，琐事从简，路上便只剩风景可看。",再写一版，幽默感轻一点，不要用网络烂梗。,"1.(直白) 出差常备，拆开就穿🧳
2.(留白) 省事，也挺体面。
3.(共鸣) 行李轻了，心也轻。
4.(接地气) 出门前塞两袋进包，路上不用惦记洗晾，真省心。
5.(诗意) 轻装出发，琐事从简，路上便只管看风景。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#68,高赞朋友圈,"1.(直白) 你倒是很有勇气嘛🌸
2.(留白) 樱花底下，佩服你。
3.(共鸣) 敢做的人，先赢一半。
4.(接地气) 听完对方的计划只能说一句，你倒是很有勇气嘛，佩服。
5.(诗意) 樱瓣纷落语带笑意，胆识本身就值得一赞。",整体再口语自然一些，少一点刻意煽情，仍然输出5条。,"1.(直白) 你倒是很有勇气嘛🌸
2.(留白) 樱花下，挺佩服。
3.(共鸣) 敢做的人，先赢。
4.(接地气) 听完对方的计划只能说一句，你真挺有勇气的，佩服。
5.(诗意) 樱瓣纷落语带笑意，有胆识本身就值得一赞。",9,3,9,8,6,8,3,9,8,6,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#7,高赞朋友圈,"1.(直白) 换了瓶新水，清清爽爽💧
2.(留白) 木盖，磨砂，很安静。
3.(共鸣) 拍上脸，一天才开始。
4.(接地气) 瓶子磨砂配木盖，摆在台面上顺眼，日常拍水刚好够用。
5.(诗意) 素净瓶身，清露微凉，晨起一拍便醒了半日倦意。",第2条方向不错，再短一点，更像随手发的朋友圈。,"1.(直白) 换了瓶新水，清清爽爽💧
2.(留白+随手) 木盖磨砂，挺静。
3.(共鸣) 拍上脸，一天才开始。
4.(接地气) 瓶子磨砂配木盖，摆在台面上顺眼，日常拍水刚好够用。
5.(诗意) 素净瓶身，清露微凉，晨起一拍便醒了半日倦意。",,,,,,8,7,9,8,7,10,
高赞朋友圈#72,高赞朋友圈,"1.(直白) 这事我也参与，那我+1😳
2.(留白) 别人做了，我也想跟。
3.(共鸣) 从众的快乐，谁懂啊。
4.(接地气) 群里凑单差一个，我默默发了张图说那我+1，气氛立刻起来。
5.(诗意) 一句附议随人而起，热闹从来都是凑出来的。",整体再口语自然一些，少一点刻意煽情，仍然输出5条。,"1.(直白) 这事我也算上，那我+1😳
2.(留白) 别人做了，我也跟。
3.(共鸣) 跟着凑，也挺乐。
4.(接地气) 群里凑单差一个，我默默发张图说那我+1，气氛一下起来了。
5.(诗意) 一句附议跟着人起，热闹本来就是凑出来的。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#79,高赞朋友圈,"1.(直白) 鼓掌，这波必须夸👏
2.(留白) 不多说，先鼓个掌。
3.(共鸣) 值得的事，就该被夸。
4.(接地气) 看到好消息第一反应就是这张鼓掌图，比打字快也比打字真。
5.(诗意) 双手轻合眉眼弯弯，赞许有时无需多言。",第2条方向不错，再短一点，更像随手发的朋友圈。,"1.(直白) 鼓掌，这波必须夸👏
2.(留白+随手) 先鼓掌，赞。
3.(共鸣) 值得的事，就该被夸。
4.(接地气) 看到好消息第一反应就是这张鼓掌图，比打字快也比打字真。
5.(诗意) 双手轻合眉眼弯弯，赞许有时无需多言。",,,,,,8,7,9,8,7,10,
高赞朋友圈#83,高赞朋友圈,"1.(直白) 趴在电脑上不想动了😴
2.(留白) 桌子乱着，人先躺。
3.(共鸣) 干不动了，只想趴着。
4.(接地气) 鱼骨汉堡罐子摊一桌，我就靠在电脑上眼睛都睁不开了。
5.(诗意) 残食未收人已倚案，倦意比工作来得更快。",第2条方向不错，再短一点，更像随手发的朋友圈。,"1.(直白) 趴在电脑上不想动了😴
2.(留白+随手) 桌乱，先躺。
3.(共鸣) 干不动了，只想趴着。
4.(接地气) 鱼骨汉堡罐子摊一桌，我就靠在电脑上眼睛都睁不开了。
5.(诗意) 残食未收人已倚案，倦意比工作来得更快。",,,,,,8,7,9,8,7,10,
高赞朋友圈#85,高赞朋友圈,"1.(直白) 高兴到原地扭起来💃
2.(留白) 腰一扭，烦恼就散。
3.(共鸣) 开心的人，藏不住腰。
4.(接地气) 收到好消息第一反应就是站起来扭两下，谁看见都不管。
5.(诗意) 一腰轻扭笑眼成缝，快乐从来不必端着。",保留图片主题，换成更有氛围感但不矫情的表达。,"1.(直白) 高兴到原地扭起来💃
2.(留白) 腰一扭，烦就散。
3.(共鸣) 开心的人，藏不住。
4.(接地气) 收到好消息第一反应就是站起来扭两下，谁看都不管。
5.(诗意) 一腰轻扭笑眼成缝，快乐本就不必端着。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#9,高赞朋友圈,"1.(直白) 新裙子到了，绿得舒服🌿
2.(留白) 一裙碎花，落满绿意。
3.(共鸣) 风一吹，裙摆先出门。
4.(接地气) 墨绿底的小碎花，垂感好不挑人，配T恤衬衫都能出门。
5.(诗意) 绿意染裙，碎花如星，走起来便有一整个夏天。",保留图片主题，换成更有氛围感但不矫情的表达。,"1.(直白) 新裙子到了，绿得刚好🌿
2.(留白) 一裙碎花，半窗绿意。
3.(共鸣) 风过处，裙摆先动。
4.(接地气) 墨绿底的小碎花，垂感好也不挑人，随手套上就能出门。
5.(诗意) 绿意染上裙摆，碎花轻晃，步子一迈便是夏天。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#91,高赞朋友圈,"1.(直白) 怎么了，不要紧吧🤍
2.(留白) 一句问候，就够暖。
3.(共鸣) 难过时，最需要有人问。
4.(接地气) 朋友状态不对的时候，一句怎么了不要紧吧比什么都管用。
5.(诗意) 轻拍肩背低声一问，暖意便顺着话落下。",第2条方向不错，再短一点，更像随手发的朋友圈。,"1.(直白) 怎么了，不要紧吧🤍
2.(留白+随手) 一句问候，暖。
3.(共鸣) 难过时，最需要有人问。
4.(接地气) 朋友状态不对的时候，一句怎么了不要紧吧比什么都管用。
5.(诗意) 轻拍肩背低声一问，暖意便顺着话落下。",,,,,,8,7,9,8,7,10,
高赞朋友圈#96,高赞朋友圈,"1.(直白) 解释了半天也没人听😅
2.(留白) 越解释，越说不清。
3.(共鸣) 有些事，解释就是错。
4.(接地气) 想说清楚的时候越说越乱，最后只能竖个大拇指闭嘴了。
5.(诗意) 千言辩白不如一默，有些误会需交给时间。",整体再口语自然一些，少一点刻意煽情，仍然输出5条。,"1.(直白) 解释了半天也没人听😅
2.(留白) 越解释，越乱。
3.(共鸣) 有些事，解释就错。
4.(接地气) 想说清楚时越说越乱，最后只能竖个大拇指闭嘴。
5.(诗意) 千言辩白不如一默，有些误会交给时间就好。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
